CNF 100 50
-14 12 36 0
58 75 100 0
-68 -36 48 0
-9 12 22 0
-84 -24 86 0
41 42 71 0
17 31 69 0
-44 16 43 0
-62 50 61 0
-93 -90 -56 0
17 37 93 0
-19 55 78 0
-73 3 60 0
-88 -50 98 0
-99 -42 28 0
-95 86 87 0
-42 -40 12 0
41 75 83 0
-74 -49 -31 0
-62 31 45 0
-50 35 70 0
-62 -22 3 0
-65 34 66 0
-6 16 39 0
-58 32 72 0
-94 -84 63 0
-99 -45 89 0
-90 74 95 0
-79 -43 58 0
35 80 87 0
-89 -1 33 0
52 67 88 0
-95 -46 19 0
9 41 66 0
-90 -36 80 0
-32 13 64 0
-73 -54 79 0
-43 -36 66 0
-57 68 84 0
2 58 89 0
7 47 80 0
-51 -43 -5 0
-39 28 71 0
68 86 93 0
35 65 95 0
-41 22 46 0
-29 45 88 0
-60 29 86 0
-77 -8 99 0
-23 -22 -18 0
