CNF 100 100
-61 -34 9 0
-37 -23 74 0
-79 49 52 0
-55 -37 28 0
-26 -22 82 0
-38 6 56 0
-47 14 48 0
-70 -53 -21 0
-18 1 62 0
-79 -34 23 0
-49 8 90 0
-100 -16 80 0
-92 -44 -9 0
-92 -60 57 0
-71 -65 3 0
-96 -4 27 0
-85 12 41 0
37 64 85 0
-81 9 88 0
10 33 52 0
8 63 75 0
-3 55 81 0
-19 23 81 0
-88 -42 -38 0
-89 41 72 0
12 18 95 0
10 76 78 0
-94 -86 11 0
-37 -4 50 0
53 71 97 0
-24 -18 89 0
-48 -42 19 0
9 17 36 0
-87 -60 94 0
-98 11 26 0
-5 -2 10 0
-85 -12 29 0
-96 -73 51 0
-100 -35 56 0
-24 -11 39 0
22 41 48 0
-83 -4 74 0
-10 8 45 0
44 47 76 0
-99 -78 51 0
-92 -79 64 0
-48 -15 38 0
-84 -53 55 0
-12 80 93 0
-54 22 51 0
-68 -40 94 0
-20 -11 -3 0
-56 67 84 0
-79 -60 -23 0
-10 11 83 0
-82 28 91 0
35 40 45 0
-70 -3 31 0
-52 24 96 0
-55 -14 39 0
-75 -67 -48 0
-66 6 17 0
-61 -59 94 0
-83 -19 -18 0
-85 -46 33 0
-91 -88 -44 0
-42 -34 31 0
-92 4 51 0
56 62 81 0
-92 -68 94 0
-22 51 72 0
-25 27 66 0
-23 -15 58 0
-92 -57 15 0
52 56 77 0
-80 -55 -4 0
66 77 90 0
-51 -9 62 0
-42 -35 -5 0
-81 18 97 0
-85 -56 79 0
-92 -41 47 0
-53 -49 -11 0
-65 -26 25 0
44 54 81 0
61 68 91 0
-85 -40 99 0
27 29 80 0
-86 -19 26 0
-96 -52 -2 0
-52 21 69 0
-59 -5 53 0
-68 -10 -6 0
-70 8 56 0
-32 65 82 0
-91 -69 -46 0
-88 24 65 0
-73 -58 70 0
-41 27 38 0
-75 -43 80 0
